單字,中文,例句,中例,同義,反義
comprise,vt.包含，包括；由…組成；由…構成； ,Note the use of comprise.,注意comprise一詞的用法。,consist;be;,miss;differ;deglycerolize;
concede,v.承認；讓步，容許；承讓； ,You concede nothing to me and I have to concede everything to you.,你對我無論什麼都不肯讓步；我對你，可無論什麼都得讓步。,acknowledge;admit;make a clean breast of;,deny;disallow;expatriate;
condense,v.（使）冷凝；（使）凝結；精簡；壓縮； ,"Use: Used to wash, condense and whiten the pulp.",用途：適應于漿料的洗滌、濃縮和漂白。,distill;distil;flux;,stay;deconcentrate;decentralise;
confer,vt.授予，頒與；比較，對照； vi.商議，磋商； ,Different chemicals are administered to each fish group that might confer protection to the hair cells.,可能會對毛細胞起到保護作用的不同的化學物質被施用於每一個淺孔中.,consult;discuss;collogue;,low;disjoin;take;
conform,vi.符合；遵照；適應環境； vt.使遵守；使一致；使順從； adj.一致的；順從的； ,"They conform exactly to the written descriptions, of porcelain ware used in the imperial palace.",這些青瓷盤與史記記載的宮廷用瓷器完全一致。,scan;,deviate;desynchronise;
contradict,vt.反駁，駁斥；否認；與…矛盾，與…抵觸； vi.反駁；否認；發生矛盾； ,The well bred contradict other people. The wise contradict themselves.,教養與別人抵觸，智慧和自己抵觸。,negate;deviate;depart;,conform;positive;constructive;
coordinate,vt.使協調，使調和；整合；使（身體各部份）動作協調；（衣服、布料等）搭配； vi.協調；協同；成為同等；被歸入同一類別； adj.同等的；[語法學]並列的；同等級的；帶有同等性質的； ,"For more information on coordinate systems, see Map projections and coordinate systems.",更多關於坐標系統的信息，參見「地圖投影和坐標系統」。,set up;organise;mesh;,disarrange;disorganize;level;
core,n.中心，核心，精髓；果心，果核；[地質學]地核；[計] 磁心； vt.去（果）核，挖去…的果心；提取岩芯（樣品）； ,He has been a member of CORE since late 1999.,他從1999年起就是爭取種族平等大會(CORE)的成員。,cadre;nucleus;set;,outward;loss;gain;
covet,vt.& vi.貪求，覬覦； adj.值得渴望的； ,Covet not a gold-threaded robe. Cherish only your young days!,勸君莫惜金縷衣，勸君惜取少年時。,begrudge;salivate;envy;,wish;venial sin;look down on;
cramp,n.痛性痙攣，抽筋；（腹部）絞痛；夾子，扣釘；（制靴）弓狀木； vt.使痙攣，使抽筋；<俚>使掃興；用夾子夾緊；限制，束縛； adj.難懂的，難認的；受拘束的，狹窄的； ,"Can you keep swimming when you get a side stitch, calf cramp, or foot cramp?",你能在岔氣、小腿抽筋、腳抽筋的情況下繼續堅持游泳嗎？,twitching;charley-horse;muscle spasm;,hypoglycemia;hypernatremia;hypocalcemia;
crook,n.騙子；彎曲；鉤；詭計； vt.使成鉤狀；使彎曲； vi.彎曲； ,"Mr. Darlin: I say they are. Captain Crook, Peter Pirate!","達林先生: 我說它們是! 騙子船長, 彼得·海盜!",desperate criminal;peddler;racketeer;,inexperienced;weak;delicate;
cruise,vi.巡遊；漫遊；巡航； n.（軍艦等）巡邏，巡航；〈口〉遊覽，旅行，週遊； vt.巡航；巡遊；漫遊； ,The early warning detection to cruise missile is the first condition of intercepting cruise missile.,對巡航導彈進行預警探測，是攔截巡航導彈的首要條件。,journey;travel;,levitation;gravitation;walk;
crumble,vt.把…弄成碎屑；弄碎； vi.破碎，破裂；碎成粉末；瓦解；崩裂； n.碎屑，麵包屑；已崩潰的東西；瓦礫堆； ,The wrinkling of the hills would make them crumble.,這些山巒的皺摺會使它們倒塌無遺.,break down;crumple;collapse;,strengthen;magnetize;cool;
crust,n.麵包皮；外殼；硬外皮；地殼； vt.用外皮覆蓋；在…上結硬皮；生痂兒； vi.結成外殼；結硬皮； ,There exist two rock series namely crust caused intrusive rock and crust-mantle caused volcanic-intrusive rock.,膠東地區存在殼源侵入岩、殼幔源火山—侵入岩兩個成岩系列和金礦、多金屬礦兩個成礦系列。,asthenosphere;layer;crustal plate;,stale;oldness;staleness;
cultivate,vt.耕作，種植；教養，栽培；改善；交朋友； ,How to cultivate and what kind of personnel to cultivate are urgent challenges for our educators.,怎樣培養和培養什麼樣的人才已經向教育界提出了嚴峻的挑戰。,farm;produce;grow;,abolish;untie;unstaple;
decline,n.下降；（力量、健康、品格、權力、價值等的）衰退；下傾；（人、生命等的）衰退期； vt.& vi.辭謝，謝絕（邀請等）； vi.（道路、物體等）下傾；（太陽）落下；（在品格、價值上）降低；衰落，謝絕； ,The decline of literature indicates the decline of a nation; thetwo keep in their downward tendency.,文學的衰落表明一個民族的衰落。,repudiate;react;spurn;,contract in;accept;obey;
dedicate,vt.奉獻，獻身；（為表示感情或敬意將著作、樂曲、藝術作品等）題獻給（某人、某事業等）(to)；（在書、音,"Concentrate the natural elite, Dedicate to the Human Health.",濃縮植物精華，締造人類健康！,give;devote;employ;,stay;explode;stand still;
deem,vt.認為，視為；主張，斷定； vi.認為，視為，以為；作某種評價； ,"Then string your necklaces , bracelets, anklets or earrings as you deem beautiful.",然後按你心裡認為美麗的式樣串起項鏈、手鏈 、 腳鏈或耳環.,hold;see;view as;,derestrict;deny;enable;
defect,n.瑕疵，毛病；欠缺，缺點； vi.叛逃；背叛； ,"Structure defect, Material defect, Common parts and Components defect and General defect.","在本手冊中,我們將缺陷分為四類:結構缺陷 、 材料缺陷 、 零部件缺陷和一般性缺陷.",imperfectness;congenital defect;congenital abnormality;,perfection;hairiness;hairlessness;
degrade,vt.降低，貶低；使降級；降低…身分；使丟臉； vt.& vi.（使）退化，降解，分解；降解；撤職，免職；降低品格[身價，價值（等）]； ,I can't degrade myself to what she is.,我不能讓自己淪為像她一樣。,take down;demean;humiliate;,humanize;clock out;stand;
deliberate,adj.故意的；蓄意的；深思熟慮的；慎重的； vt.權衡； vi.熟慮；商討； ,"When a deliberate choice to restrict, the harmful consequences are deliberate destruction.",假如可以故意選擇限製程序的使用，其惡果就是任意地破壞。,measured;intended;calculated;,unintended;disrespect;respect;
denounce,vt.公開指責；正式指控；告發；通告廢除； ,It laid the foundation to pressure the world to denounce oppression in Iran.,它還為全世界譴責伊朗的壓迫行為奠定了基礎。,condemn;criticize;reprobate;,praise;applaud;acquit;
depict,vt.描繪，描畫；描述； ,I depict the various scriptures in different languages to create images for shooting.,我描繪下了各宗教經文的原始文字，並用狗食製作拍攝用的文字食物。,draw;describe;outline;,repel;adduct;abduct;
deprive,vt.剝奪，奪去，使喪失； ,"He appeared to deprive his city of all its resources, arts, commerce, money, and defenses.","他看似剝奪了他城池的所有資源, 藝術, 商業, 金錢和與國防.",clean;strip;disarm;,give;unfreeze;allow;
derive,vt.& vi.得到，導出；源於，來自；（從…中）提取； ,We derive our sustenance from the land.,我們從土地獲取食物.,reason out;conclude;infer;,disassemble;dissuade;break even;
descend,v.下來，下降 ；下斜；降臨；突然造訪； ,"Every beggar is descend from some king, and every king is descend from some beggar.","乞丐是國王的後代, 國王是乞丐的子孫.",swoop;light;correct;,float;stay in place;rise;
designate,vt.指明，指出；指派；表明，意味著；把…定名為； adj.指定而尚未上任的；選出而尚未上任的； ,"You may designate any person, firm, corporation or legal entity as principal or contingent beneficiary.",你可以指定任何人、公司、企業或者合法的實體作為主要的或臨時的受益人。,denominate;denote;number;,import;export;upload;
detach,vt.分離，拆開；派遣；分派；使超然； ,DLL _ THREAD _ DETACH The DLL receives this value when a thread in the process is destroyed.,"DLL_THREAD_ DETACH當進程中的線程被銷毀時,dll接收到這個值.",break off;break;unbind;,bind;connect;attach;
detain,vt.留住，阻住；耽擱；拘留，扣留； ,"I very want to detain, actually any also cannot detain.",我很想挽留，卻什麼也留不住。,keep in;straiten;remand;,free;lose;discontinue;
deter,vt.阻止，制止；使不敢；使躊躇； vi.阻止，威懾； ,"Run it invisibly, so you can catch, asas deter , problem coworkers, visitors, family members, or managers.","運行它看不見的, 所以,你們可以趕上, 以及阻止, 可以安然的問題, 旅客, 家庭成員, 或經理.",reject;disapprove;discourage;,approve;accept;honor;
deteriorate,vt.使惡化； vi.惡化，變壞； ,Ninety percentage of the usable natural grasslands have deteriorate to various certain extents.,中國90%的可利用天然草原有不同程度的退化。,wear thin;crumble;wear out;,masochist;sadist;moral;
devalue,vt.使（貨幣）貶值；降低（某事物）的價值，貶低； vi.（貨幣）貶值； ,"In July 1997, the Thai government was forced to devalue.",1997年7月，泰國政府被迫降低幣值。,debase;modify;alloy;,appreciate;unscramble;nationalise;
diagnose,vt.診斷；判斷； vi.做出診斷； ,The Diagnose button is used to troubleshoot DS 1 interface problems.,Diagnose按鈕是用來排除DS1介面故障的.,explore;study;canvas;,uncover;disrepute;synthesize;
diagram,n.圖表；圖解；示意圖；[數]線圖； vt.用圖表示；圖解； ,The failure assessment diagram (FAD) method is very effective to the EGA of the pipelines.,"失效評定圖(Failure Assessment Diagram,FAD)方法是進行管道ECA評估非常有效的方法，該方法是英國中央電力局(CEGB)首先提出的。",Venn diagram;block diagram;horoscope;,representational;repel;adduct;
dictate,vt.口述；命令，指示；使聽寫；控制，支配； vi.口述；命令； n.命令；指示；指導原則； ,The conditions and elements present the stellar atmosphere will dictate the chemical composition of the dust.,塵埃的化學成分受恆星大氣呈現的狀態與成分支配。,impose;bring down;inflict;,ascend;leave;authorized;
differentiate,vt.& vi.區分，區別，辨別； vi.區別對待； vt.表明…間的差別，構成…間差別的特徵；[數學] 求…的微分：計算導數或（函數的）微分； ,This company does differentiate between men and women – everyone is paid at the same rate.,本公司對男女員工一視同仁–大家都按相同的薪酬標準領工資。,know apart;severalize;severalise;,associate;same;common;
diminish,vt.（使）減少，縮小；減弱…的權勢；[樂]減半音； vi.變小或減少；逐漸變細； ,Time will never cause our friendship to diminish . Or : Time will not diminish our friendship.,我們的友誼絕不會因時間的流逝而減弱.,slack;slow;decoct;,stretch;strengthen;lengthen;
disable,vt.使無能力；使殘廢，使傷殘；使無資格；使不中用； ,Auto disable screen saver(setting condition of disable screen saver),自動禁止屏幕保護-（設置禁用屏幕保護的條件）,hold;confine;modify;,enable;let go of;defy;
disapprove,vi.不贊成； vt.反對，否決；持相反的意見； ,I am to disapprove of those who defer emeritus age.,我是不贊成推遲退休年齡的.,evaluate;discountenance;frown on;,approve;fail;pass;
discharge,vt.下（客）；卸船；免除（自己的義務、負擔等）；執行； vt.& vi.放出；流出；開槍；發射； n.（氣體、液體如水從管子里）流出；排放出的物體； ,Then the difference between fluidic light discharge theory and Townsend discharge theory is also described.,同時闡述了流光放電理論和湯生放電理論的區別.,eruption;natural event;volcanic eruption;,prevent;failing;stay;
disclose,vt.公開；揭露；使顯露；使暴露； ,"NYSE stipulates that companies must disclose these relationships, when they exist.",紐約證券交易所規定當存在這些關係時，公司必須披露這些關係。,blow;bring out;unwrap;,keep quiet;succeed;understate;
discomfort,n.不舒適，不舒服；不安；不方便；苦惱； vt.使…不舒服；使…不安；使苦惱；使不便； ,Chest discomfort - pain 、 pressure or discomfort in the chest.,胸部不適 - 痛、壓迫不適.,incommodiousness;inconvenience;uncomfortableness;,comfort;suitableness;availability;
disgrace,n.丟臉；恥辱；不光彩；丟臉的人（或事）； vt.使丟臉；使失寵；使受恥辱；貶黜； ,"Poverty is not a disgrace, but theft is a disgrace.","貧窮不可恥, 偷竊乃足羞.",shame;maculate;attaint;,honor;immodest;superior;
dismantle,vt.拆開；拆卸；廢除；取消； ,The estate carpenters were collected to dismantle the bed.,集領地的木匠們把那張床拆卸開了。,strip;withdraw;take away;,rise;ascend;humanize;
dismay,vt.使驚愕，使焦慮，使氣餒； n.驚愕，氣餒； ,Dismay is not a characteristic mood with him.,沮喪並不是他的主要情緒。,despair;disheartenment;intimidation;,hope;spread;heat;
dispatch,vt.派遣，調度；（迅速地）發出；迅速處理，迅速了結；處決（罪犯等）； n.（使者等的）派遣；急件；迅速辦理，快速處理；（記者發回的）新聞報道； ,Dispatch of units and employment services unit was not allowed to dispatch workers free of charge.,勞務派遣單位和用工單位不得向被派遣勞動者收取費用.,bundle off;send off;despatch;,muzzle;hire;stand still;
disperse,vt.& vi.（使）分散，（使）散開；散播，傳布（如知識）；使（光）色散；使粒子分散； adj.分散的； ,The ground and illuminating dyes theon the alkali-dischargeable and resistant properties of disperse dyes.,分散染料作為色拔染料對鹼的適應性進行了試驗，並選出耐鹼三元色染料及不耐鹼的地色染料。,plash;splosh;splatter;,malfunction;earned run;unearned run;
displace,vt.移動，移走；替換，取代；排水；撤職； ,"To displace (a body part), especially to displace a bone from its normal position.",移置（身體的器官），尤指從正常的位置移置骨頭。,uproot;crowd out;evacuate;,tense;strain;coil;
displease,vt.使生氣，使不愉快；冒犯，觸怒； vi.使生氣；使不快； ,You displease your father when you don't obey him.,"當你不服從你父親時,你就會使他不高興.",vex;rag;get at;,satisfy;attract;please;
disregard,vt.不顧；不理會；漠視，忽視；蔑視，輕視； n.漠視，忽視；不理，不顧；不尊重； ,A lot of people disregard traffic signals and rules.,許多人無視於交通號誌和規律。,treat;snub;do by;,notice;hire;welcome;
dissolve,vt.使溶解；使（固態物）溶解為液體，使液化；使消失，使消逝，消除；使終止； vi.溶解；融化，液化；解散，散去；分裂，分解； ,"Gradually changes can be broken down into fade, dissolve, spin and wipe etc.",漸變又可以細分成淡入淡出(fade)、融合(dissolve) 、 旋轉(spin)、翻轉(wipe)等等.,turn;fade out;fade away;,expand;uncut;switch on;
dissuade,vt.勸阻；勸止；勸戒； ,How can I dissuade you from making such a decision?,我怎麼才能說服您不做出這種決定呢？,counsel;deter;talk out of;,persuade;talk into;indicate;
distort,vt.歪曲，扭曲；曲解；使變形； vi.扭曲；變形； ,This kind of variation would make the decay parameter of repassivation kinetics distort.,這種變化將導致再鈍化動力學衰減參數的失真。,mangle;murder;falsify;,unravel;simplify;untie;
distract,vt.使分心；使混亂； ,Don' t distract my attention.,不要分散我的注意力。,flurry;deflect;confuse;,functional disorder;organized;untroubled;
distrust,vt.不信任；懷疑； n.不信任，猜疑；疑惑，不相信； ,Distrust all in whom the impulse to punish is powerful.,不要信任任何有強烈懲罰欲的人。,doubt;suspect;discredit;,believe;trust;flatter;
diversify,vt.& vi.使多樣化，多樣化；進入新的商業領域； ,People should diversify their investments.,人們應分散投資在幾家公司.,branch out;alter;vary;,specialise;specialize;magnetize;
divert,vt.使轉移；娛樂；轉移注意力； ,Foam can help divert acid to reservoir layers most in need of stimulation.,泡沫可以幫助酸分流入更需要酸化的油層中.,deviate;direct;send;,masochist;sadist;equal;
dome,n.圓屋頂；像圓屋頂一樣的東西；圓頂體育場； vt.加圓屋頂于…上； vi.成圓頂狀； ,Cover with plastic dome.,"用塑料蓋子蓋上. (這裡的dome, 當然不是「屋頂」的意思,而是蓋子的意思,是一種圓形或橢圓形的部面形狀)",bean;attic;human head;,angular;uncoiled;
donate,vt.& vi.（尤指向慈善機構）捐贈；獻（血）；捐（血）；捐獻（器官）； n.捐贈；捐獻； ,"Q:If you had a lot of money to donate, where would you donate it to?Why?",假如你有很多錢可以捐贈，你會捐給什麼單位？為什麼？,pledge;give;subscribe;,dishonor;nonmember;deny;
doom,n.命運；厄運；死亡；（尤指不利的、有罪的）判決，宣判； vt.註定；判定；使…的失敗；宣判； ,"Since that fateful day of playing my first multiplayer game of Doom, I've been hooked.","那天我兄弟把Doom這個遊戲介紹給我玩,這是我第一次我這個多人遊戲, 我立刻被深深吸引住了.",ordain;designate;destine;,accept;acquittal;good luck;
drizzle,vi.下濛濛細雨，下毛毛雨； n.濛濛細雨，毛毛雨； ,Arrange on a platter and drizzle with the horseradish dressing.,安排在與辣根選礦的盛肉盤和毛毛雨.,rainfall;rain;mizzle;,dry;clean;dehumidify;
dynamite,n.炸藥；具有爆炸性的事物，有潛在危險的人；引起轟動的人(或物； vt.破壞，炸毀；裝炸藥； adj.極好的； ,In 1867 he patented this material under the name of dynamite.,"1867年他將自己的產品申請了專利,定名為dynamite(黃色炸藥).",gelly;glyceryl trinitrate;Nitrospan;,arrive;background;play down;
ebb,vi.（指潮水）退；跌落；減少；衰落； n.退潮；落潮；衰退；減少； ,"Result EBB showed antitumor effects in vivo to B16,B180 and lewis lung cancer in mice.",結果 EBB可抑制小鼠S180肉瘤、B16 黑色素瘤和Lew is 肺癌的生長，使瘤重量減輕，存在劑量效應關係。,ebb down;ebb out;ebb away;,tide;recuperate;increase;
embark,vi.上飛機，上船；著手，從事； vt.使…上船或飛機；使從事，使著手；投資于； ,"However, setting up an ostrich farm isn't something to embark on lightly.",然而建立鴕鳥農場不容易著手.,get;start out;enter;,end;lend;sell;
emigrate,vt.移居國外； ,"The sending country, then, may very well suffer a net public-finance loss from having people emigrate.",所以，由於一些人出境移居，移民輸送國很可能要蒙受財政的凈損失。,go forth;go away;migrate;,arrive;immigrate;pull in;
enact,vt.制定法律；規定；頒布，頒布；擔任…角色； ,To enact ( a feat or role ) before an audience.,表演在觀眾面前表演 ( 一項技藝或角色 ),decree;pass;reenact;,be born;disapprove;decertify;
enhance,vt.提高，增加；加強； ,Accounting information is to enhance financial transparency and enhance the authenticity of accounting information.,會計信息化是增強財務透明度、提高會計信息真實性的要求。,deepen;potentiate;heighten;,deprive;uglify;break;
enlighten,vt.啟發，啟蒙；開導，教導；〈古〉照耀； ,I didn't try to enlighten him.,我並沒有試圖向他解釋。,shed light on;sort out;elucidate;,obfuscate;contract;mystify;
enrich,vt.使富裕，使富有；給…添加肥料；使…美味；裝飾； ,"Setbacks can help you accumulate experience, and experience can, in return, enrich you mind.",挫折可以幫助你積累經驗，經驗反過來能夠豐富智慧。,fertilise;fertilize;amend;,worsen;deprive;denitrify;
erode,vt.& vi.侵蝕，腐蝕； vi.逐漸毀壞；削弱，損害； ,"Erode free will, and you erode that argument.",但是，自由意志被破壞了，這條論據也就不成立了。,crumble;gnaw;gnaw at;,handwash;dirty;machine wash;
escalate,vt.使逐步升級；使逐步上升；乘自動梯上升； vi.逐步上升；（戰爭）逐步升級；逐步擴大；像乘自動梯上升； ,"Sometimes they escalate it, in which case continue to escalate the exaggeration of your response.","有時候,他們會讓情況升級, 這個時候繼續地升級你的反應誇張程度.",step up;increase;redouble;,decrease;de-escalate;refrain;
evacuate,vt.撤離，疏散；排泄；騰出（房子等）；除清，抽空； vi.排空（胃腸）；疏散；撤退； ,"And the word, evacuate, is not uttered in polite society.",而是將他處決，而「evacuate」（即疏散）一字在上流社會中是不便啟齒的。,empty;,fill;undrained;
evolve,vt.使發展；使進化；設計，制訂出；發出，散發； vi.發展；[生]通過進化進程發展或發生； ,He is serious when he says he wants his Connection Machine to evolve commercial software.,當他說他想讓自己的連線機進化商務軟體時，他是認真的。,create by mental act;develop;create mentally;,take away;repel;arrive;
excerpt,n.摘錄；引用；摘要；節錄； vt.摘錄；摘要；引用；節要； vi.摘錄；引用； ,Excerpt from a talk with President EI Hadj Omar Bongo of the Gabon Republic.,這是鄧小平同志會見加彭總統邦戈時談話的一部分。,cutting;extract;track;,dull;hot;kind;
exert,vt.發揮；運用；使受（影響等）；用（力）； ,It has been demonstrated that all steroids can exert their actions by rapid non - genomic effects.,現已證明各種類型的類固醇激素均能通過 非 基因組作用快速改變生理過程.,exercise;employ;utilise;,inactivity;stand still;fire;
expel,vt.驅逐；趕走；把…除名；排出（氣體等）； ,We have no alternative but to expel you from the factory.,把你開除廠籍是不得已的事情。,turn out;turf out;ostracize;,repatriate;disallow;recede;
expire,vi.期滿；文件、協議等（因到期而）失效；斷氣；逝世； ,How will I know when my upgrades expire?,我怎麼知道我的提升將到期？,run out;discontinue;,continue;stay in place;disapprove;
exploit,vt.開採；開拓；利用（…為自己謀利）；剝削； n.功績；功勞；勛績； ,One area the Conservatives will seek to exploit is government spending.,保守黨可以利用的一塊就是政府開支。,feed;use;work;,abstain;functional;uselessness;
extract,vt.提取；（費力地）拔出；選取；獲得； n.汁；摘錄；提煉物；濃縮物； ,"Ingredient: Elastic Collagen Protein, Seaweed Extract, Chamomile Extract, Aloe Extract, Pure Green Tea Extract.",主要成份：彈力膠原蛋白、海藻精華、甘菊精華、蘆薈精華液、綠茶提純精華。,pull;squeeze out;draw;,stand still;repel;adduct;
facilitate,vt.促進，助長；使容易；幫助； ,"Money markets facilitate the sale of short-term securities, while capital markets facilitate the sale of-term securities.",貨幣市場促進短期證券的交易，而資本市場則促進長期債券的買賣。,aid;help;alleviate;,inactivity;disservice;worsen;
flare,vi.閃耀，閃光；燃燒；突然發怒；向外張開； vt.使閃耀；使張開；用光發出信號；使外傾； n.閃光；爆發；反射；太陽耀斑； ,"Do not flare up, flare up would harm the stomach!",不要動怒，動怒會對胃有傷害！,combust;burn;burn up;,dry fly;unalert;stand still;
flicker,v.閃爍；飄揚，擺動；昏倒； n.閃爍；閃光；電影；假裝昏倒的乞丐； ,"Flicker, flicker the lace flare of her hat in the sun: flicker, flick.",閃爍，閃爍，她帽子上那絲質飄帶在陽光下閃爍著，飄蕩著。,flutter;quiver;move back and forth;,rise;fall;descend;
fling,vt.（尤指生氣地）猛扔；急派；放肆地投入；扔在一邊，拋棄； vt.& vi.猛撲；猛衝；急伸； n.投擲；〈美俚〉嘗試；恣意，一時的放縱； ,Thou canst prevail against my fears and fling.,你能消除我的惶恐，把你的。,toss;sky;flip;,string;pack;charge;
flutter,vi.飄動；鼓翼； vt.& vi.振翼，拍翅膀；煩擾，坐立不安；（旗幟）飄揚； n.緊張，激動不安；顫振；飄揚；（身體部分的）病態陣跳； ,Carotid sinus pressure has little or no effect on the atrial rate in atrial flutter.,壓迫頸動脈竇對心房撲動時的心房率幾乎不起作用.,motility;flicker;movement;,fall;basic;organic disorder;
foresee,vt.預知，預見；有先見之明； ,"Actually, my interest was directed more towards what particular markets you foresee for our product.",事實上，咱關心的是`貴公司對咱們商品市場的考量。,anticipate;previse;foreknow;,ride;advance;stay in place;
formulate,vt.構想出，規劃；確切地闡述；用公式表示； ,"During of law education, it is the core tenet to make the students formulate legal thinking.",那麼，法律思維如何在法律教育中養成呢？這是法律界、教育界應該關注卻一直沒有引起重視的問題。,hypothecate;speculate;acquire;,devoice;voice;inarticulate;
forsake,vt.放棄，捨棄；斷念；摒棄（壞習慣）； ,"Forsake your folly and live, And proceed in the way of understanding.",你們愚蒙人，要捨棄愚蒙，就得存活。並要走光明的道。,expose;ditch;desolate;,keep quiet;hide;close;
fortify,vt.加強，增強；增加營養物；使體力增加；鼓勵，使（意志等）堅定； vi.構築防禦工事； ,He felt that to fortify his intelligence was to fortify his hate.,他感到提高他的知識，也就是加強他的仇恨。,beef up;modify;ruggedise;,weaken;devitalize;magnetize;
foster,v.培養；撫育；促進；代養； adj.寄養的；代養的； ,"Coordinate the Foster Care Program. Select foster families, train foster mother, place children in foster homes.",協調孩子寄養計劃。挑選寄養家庭、送孩子到寄養家庭、拜訪寄養家庭。,further;advance;encourage;,disapprove;disagree;take;
fracture,vt.& vi.（使）折斷，破碎； n.破裂，斷裂；骨折； ,"The fracture in studied area can he divided into diagenetic micro-facture, weathering fracture and structural fracture.",研究區的裂縫可以劃分為岩微裂隙、風化裂隙和構造裂縫3種類型。,abuse;misuse;pervert;,perfection;absolve;merit;
fragment,n.碎片；片段，未完成的部分；（將文件內容）分段； vt.（使）碎裂，破裂，分裂； vi.破碎，碎裂； ,"But that fragment of talk lodged, thick, in his small gizzard.",可是談話的片斷卻深深盤據在他的小頭腦裡面。,flake;ember;paring;,associate;united;same;
freak,n.反常的事；突然的念頭；怪異物；[俚]吸毒（成癮）者；頹廢派成員；性變態者； vi.胡鬧，開玩笑；行事任性怪誕；[美國俚語]（尤指在服用迷幻藥后）變得極度興奮；[俚語]（像吸過毒似的）vt.激怒；[俚語]使採取不合常規的生活方式；[俚語]使處於幻覺劑影響之下； ,It's no reason to freak out like a jerk and try to kill all of humanity.,象個傻子一樣反常，還想毀滅全人類，真沒道理。,lusus naturae;mutation;variation;,spread;fearlessness;
fret,n.[建築]回紋飾，狀飾物；煩躁，煩惱；腐蝕處，磨損處；弓上木頭的毛病； v.磨損，腐蝕；焦急；使煩惱；用回紋裝飾； vi.煩惱；磨損；焦急； ,New Zealanders fret that their currency has risen too far.,紐西蘭人憂慮本國貨幣升值過度。,scruple;worry;dither;,ill nature;maleficence;awkwardness;
generalize,vt.& vi.概括，歸納；推廣，普及；使一般化；形成概念； vt.推廣，普及；使一般化；概括； vi.形成概念； ,Can we generalize common solutions to apply to similar problems?,相似的問題能否歸納出通用的解決方案？,reason out;conclude;infer;,uncover;unprepared;hard;
generate,vt.形成，造成；產生物理反應；產生（後代）；引起； ,A small utility to generate robust passwords with options.,一個小實用程序將與選擇產生柔韌的口令.,bring on;come up;make;,spread;set;stop;
glisten,vi.閃耀，閃亮； n.閃光，閃耀； ,"Her eyes began to glisten, and her lids to twinkle.",她的眼睛開始發亮，眼皮直眨。,appear;seem;spangle;,mistrust;disagree;back;
graph,n.圖表，曲線圖；詞的拼法； vt.用曲線圖表示，把…繪入圖表；用膠版印刷； ,The concentration - times data were analyzed with PK - GRAPH.,採用藥物動力學軟體(PK-GRAPH)分析藥物濃度 -時 間數據.,EKG;characteristic curve;ECG;,inactivity;disagree;straight line;
grill,vt.& vi.燒烤； vt.拷問，盤問； n.烤架；烤肉；格板；燒烤餐館； ,"Combine in a bowl with pepper, onion and basil a grill or grill pan over high.",在一個碗里加入甜椒，洋蔥和紫蘇，用高火預熱烤架，架子上噴上油。,restaurant;eatery;grillroom;,cool;
grope,vi.觸摸，試探著前進；探索，摸索； vt.摸索（路）；<俚>撫摸身體； n.摸索，探索； ,Methods:50 patients of DN were divided randomly into SQTMK grope(30cases) and control grope(20cases).,方法：50例糖尿病腎病患者，隨機分為參?糖脈康治療組30例，對照組20例。,search;look for;fumble;,succeed;unmoving;stifle;
hack,vt.& vi.亂劈，亂砍；開墾；出租馬車； n.劈，砍；乾咳；乘用馬； ,"Compare cut, saw, chop, hack, slash and tear.",試比較cut、saw、chop、hack、slash、tear這幾個詞。,unskilled person;hacker;plodder;,switch on;strengthen;malfunction;
hail,n.冰雹；一陣； vi.下冰雹；如冰雹般地降下； vt.致敬；打招呼；打信號示意（計程車等）停下；讚揚（或稱頌）…為（尤用於報章等）； ,The key of artificial hail suppression work is to identify hail cloud and to operate real-time.,人工防雹作業中關鍵是雹雲判別和適時作業。,applaud;herald;acclaim;,change;converge;miss;
harass,vt.[軍]擾亂，騷擾；使煩擾，折磨；反覆襲擊； ,"The guerrillas lay up by day, and by night sallied out to harass the enemy.",游擊隊員們白天隱藏起來，夜晚進行出擊，騷擾敵人。,rile;crucify;nettle;,cultivated plant;better;soothe;
hazard,vt.冒險；使遭受危險； n.危險；冒險的事；機會；雙骰子遊戲； ,Job Hazard Analysis and hazard identification.,工作風險分析和風險識別。,risk;jeopardy;moral hazard;,believe;trust;divest;
highlight,n.（圖畫或照片的）強光部份；最重要的事情；最精彩的部分； vt.強調，突出；把…照亮；標示記號；為…中最突出的事物； ,Resume highlight: Overcame childhood dyslexia to graduate second in his high - school class.,個人經歷中最引以為榮的事情: 克服幼兒時期所患的誦讀困難症后以第二名的優異成績畢業於一所中學.,set off;foreground;spotlight;,background;play down;contract;
hospitalize,vt.把…送入醫院治療；就醫； ,Mrs Smith seriously ill already hospitalize.,史密斯夫人病重已住院.,institutionalise;institutionalize;hospitalise;,linger;absolve;calm;
humiliate,vt.使蒙羞，使丟臉，使出醜；屈辱，羞辱； ,Attack me! Hurt me! Torture me! Humiliate me! Mistreat me! Persecute me!,打擊我吧! 傷害我吧! 折磨我吧! 羞辱我吧! 虐待我吧! 迫害我吧!,take down;smash;offend;,raise;rise;ascend;
hunch,n.預感，直覺；肉峰； v.隆起；向前移動； ,The manager a hunch that something was to pay.,經理感到事情有些不妙。,suspicion;bosom;notion;,unclasp;show;misconception;
